City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Alberdi,AR,2022-10-18 19:18:20,-32.8899,-60.6906,75.34,54,100,11.5
146,Atar,MR,2022-10-18 19:18:21,20.5169,-13.0499,95.54,10,100,9.93
147,Kamenka,RU,2022-10-18 19:18:21,51.3223,42.7678,53.44,60,98,18.39
148,Touros,BR,2022-10-18 19:18:21,-5.1989,-35.4608,81.34,69,31,17.65
149,Broome,US,2022-10-18 19:18:22,42.2506,-75.833,49.19,66,100,10.36
150,Chuy,UY,2022-10-18 19:18:22,-33.6971,-53.4616,62.78,79,100,15.03
151,Itarema,BR,2022-10-18 19:18:22,-2.9248,-39.9167,82.74,66,24,20.74
152,Moose Factory,CA,2022-10-18 19:18:23,51.2585,-80.6094,46.4,76,100,23.02
153,Coahuayana,MX,2022-10-18 19:18:23,18.7333,-103.6833,84.2,70,100,2.8
154,Colquechaca,BO,2022-10-18 19:18:23,-18.6667,-66.0167,47.59,37,74,8.46
155,Betanzos,ES,2022-10-18 19:18:24,43.2804,-8.2147,68.09,80,40,17.27
156,Faya,SA,2022-10-18 19:18:25,18.3851,42.4509,64.92,31,96,7.63
157,Broken Hill,AU,2022-10-18 19:18:26,-31.95,141.4333,55.08,89,100,17.56
158,Ankpa,NG,2022-10-18 19:18:26,7.3706,7.6253,76.3,82,96,0.85
159,Chapais,CA,2022-10-18 19:18:27,49.7834,-74.8492,47.98,90,100,12.41
160,Saskylakh,RU,2022-10-18 19:18:28,71.9167,114.0833,14.29,92,100,10.22
161,Deputatskiy,RU,2022-10-18 19:18:29,69.3,139.9,-2.0,97,99,4.61
162,Teya,RU,2022-10-18 19:18:29,60.3778,92.6267,29.35,98,98,2.46
163,Alvarado,MX,2022-10-18 19:18:29,18.7667,-95.7667,75.88,93,100,9.75
164,La Palma,US,2022-10-18 19:18:30,33.8464,-118.0467,93.11,51,0,5.75
165,Sabang,ID,2022-10-18 19:18:30,5.8933,95.3214,80.55,81,100,22.66
166,Svetlaya,RU,2022-10-18 19:18:31,46.5389,138.3297,37.18,61,100,6.42
167,Gizo,SB,2022-10-18 19:18:31,-8.103,156.8419,81.21,77,87,4.92
168,Longyan,CN,2022-10-18 19:18:32,25.1072,117.0225,57.83,57,57,4.29
169,San Rafael,AR,2022-10-18 19:18:33,-34.6177,-68.3301,52.39,93,100,6.91
170,Turukhansk,RU,2022-10-18 19:18:33,65.8167,87.9833,32.04,99,100,8.25
171,Selma,US,2022-10-18 19:18:34,36.5708,-119.6121,79.02,53,0,0.0
172,Lavrentiya,RU,2022-10-18 19:18:34,65.5833,-171.0,24.4,78,5,1.57
173,Axim,GH,2022-10-18 19:18:34,4.8699,-2.2405,77.97,85,60,5.91
174,Saint-Pierre,RE,2022-10-18 19:18:35,-21.3393,55.4781,67.91,73,20,5.75
175,Mar Del Plata,AR,2022-10-18 19:15:34,-38.0023,-57.5575,62.62,84,20,19.57
176,Arman,RU,2022-10-18 19:18:35,59.7,150.1667,25.02,52,100,10.38
177,Pisco,PE,2022-10-18 19:18:36,-13.7,-76.2167,64.45,72,20,10.36
